Page / Section,Content Type,Current Placeholder Text,Client's Final Content,Done?
========== COMPANY INFO (used site-wide) ==========,,,,
Company Info,Company Name,ARC Builders,,
Company Info,Full Name,Aesthetic Residential Commercial Builders,,
Company Info,Phone,0411 878 438,,
Company Info,Email,info@arcbuilders.com.au,,
Company Info,Address,"PO Box 1345, Sunnybank Hills QLD 4109",,
Company Info,Years Experience,10+,,
Company Info,Tagline,Builders with a difference,,
Company Info,QBCC Licence,15090326,,
Company Info,Facebook URL,(not set),,
Company Info,Instagram URL,(not set),,
Company Info,LinkedIn URL,(not set),,
Company Info,YouTube URL,(not set),,
========== HOMEPAGE — Hero Section ==========,,,,
Homepage > Hero,Subtitle,Aesthetic Residential & Commercial,,
Homepage > Hero,Heading Line 1,Building,,
Homepage > Hero,Heading Line 2 (gold),Exceptional,,
Homepage > Hero,Heading Line 3,Homes with Precision,,
Homepage > Hero,Description,"Custom homes, renovations, and architectural builds. Transparent pricing, superior craftsmanship, and a team that delivers.",,
Homepage > Hero,Button 1 Text,View Projects,,
Homepage > Hero,Button 2 Text,Start Your Project,,
Homepage > Hero,Stat 1 Value,10+,,
Homepage > Hero,Stat 1 Label,Years Experience,,
Homepage > Hero,Stat 2 Value,200+,,
Homepage > Hero,Stat 2 Label,Projects Completed,,
Homepage > Hero,Stat 3 Value,100%,,
Homepage > Hero,Stat 3 Label,Client Satisfaction,,
Homepage > Hero,Background Image URL,(Unsplash placeholder — replace with real project photo),,
========== HOMEPAGE — About Preview Section ==========,,,,
Homepage > About,Section Label,About ARC Builders,,
Homepage > About,Heading,"Entrust Your Vision To Our Team",,
Homepage > About,Paragraph 1,"At ARC Builders we have been in the industry for over 10 years, with an experienced team driven to deliver excellence in customer service. We provide transparent upfront pricing with no hidden costs.",,
Homepage > About,Paragraph 2,"Unlike others that only provide set design and build, we customise our plans to reflect your unique vision. Builders with a difference.",,
Homepage > About,Feature 1 Title,Transparent Pricing,,
Homepage > About,Feature 1 Description,"No hidden costs, upfront quotes",,
Homepage > About,Feature 2 Title,Custom Design,,
Homepage > About,Feature 2 Description,Tailored to your unique vision,,
Homepage > About,Feature 3 Title,Quality Builds,,
Homepage > About,Feature 3 Description,Highest standards of craftsmanship,,
Homepage > About,Feature 4 Title,On-Time Delivery,,
Homepage > About,Feature 4 Description,Reliable project timelines,,
Homepage > About,Image URL,(Unsplash placeholder — replace with real team/site photo),,
========== HOMEPAGE — Services Section ==========,,,,
Homepage > Services,Section Label,What We Do,,
Homepage > Services,Heading,Our Services,,
Homepage > Services,Description,"We design and build stylish residential and commercial buildings that suit your style, budget, and requirements.",,
========== HOMEPAGE — Process Timeline ==========,,,,
Homepage > Process,Section Label,How We Work,,
Homepage > Process,Heading,Our Process,,
Homepage > Process,Description,"From first conversation to final handover, every step is transparent, collaborative, and focused on your vision.",,
========== HOMEPAGE — Testimonials ==========,,,,
Homepage > Testimonials,Section Label,Testimonials,,
Homepage > Testimonials,Heading,What Our Clients Say,,
========== HOMEPAGE — CTA Section ==========,,,,
Homepage > CTA,Section Label,Let's Build Together,,
Homepage > CTA,Heading,Ready to Build Your Dream Home?,,
Homepage > CTA,Description,"Whether it's a custom home, renovation, or commercial project, our team delivers quality builds with transparent pricing and no hidden surprises.",,
Homepage > CTA,Button 1 Text,Start Your Project,,
Homepage > CTA,Button 2 Text,Call 0411 878 438,,
Homepage > CTA,Background Image URL,(Unsplash placeholder — replace with real project photo),,
========== ABOUT PAGE ==========,,,,
About Page > Hero,Label,Our Story,,
About Page > Hero,Heading,About ARC Builders,,
About Page > Hero,Background Image URL,(Unsplash placeholder),,
About Page > Story,Heading,Builders with a Difference,,
About Page > Story,Paragraph 1,"At ARC Builders, we have been in the building industry for over 10 years, with an experienced team driven to deliver excellence in customer service. We provide transparent upfront pricing with no hidden costs.",,
About Page > Story,Paragraph 2,"Transforming your plans into quality residential or commercial buildings. Unlike others that only provide set design and build, we customise our plans to reflect your unique vision.",,
About Page > Story,Paragraph 3,"We are driven by a passion to deliver superior customer service, delivering on time, with a team that builds to the highest quality and finest details.",,
About Page > Story,Image URL,(Unsplash placeholder — replace with real team photo),,
About Page > Stats,Stat 1 Value,10+ (from companyInfo),,
About Page > Stats,Stat 1 Label,Years Experience,,
About Page > Stats,Stat 2 Value,200+,,
About Page > Stats,Stat 2 Label,Projects,,
About Page > Stats,Stat 3 Value,100%,,
About Page > Stats,Stat 3 Label,Satisfaction,,
About Page > Values,Section Label,What Drives Us,,
About Page > Values,Heading,Our Values,,
About Page > Values,Value 1 Title,Transparency,,
About Page > Values,Value 1 Description,"Upfront pricing with no hidden costs. You know exactly what you're investing from day one.",,
About Page > Values,Value 2 Title,Attention to Detail,,
About Page > Values,Value 2 Description,"The finest details matter. Our team builds to the highest quality standards on every project.",,
About Page > Values,Value 3 Title,Client First,,
About Page > Values,Value 3 Description,"We listen first, advise second. Your vision and goals are always at the centre of what we do.",,
About Page > Values,Value 4 Title,Excellence,,
About Page > Values,Value 4 Description,"Driven to deliver superior customer service and quality craftsmanship, every single time.",,
========== RESIDENTIAL PAGE ==========,,,,
Residential > Hero,Label,Residential,,
Residential > Hero,Heading,Residential Services,,
Residential > Hero,Description,"From custom homes to renovations and extensions, we tailor every project to your unique vision and budget.",,
Residential > Hero,Background Image URL,(Unsplash placeholder),,
========== COMMERCIAL PAGE ==========,,,,
Commercial > Hero,Label,Commercial,,
Commercial > Hero,Heading,Commercial Services,,
Commercial > Hero,Description,"Shop fitouts, medical centres, childcare construction, and commercial buildings delivered to the highest standards.",,
Commercial > Hero,Background Image URL,(Unsplash placeholder),,
========== PROCESS PAGE ==========,,,,
Process > Hero,Label,How We Work,,
Process > Hero,Heading,Our Process,,
Process > Hero,Description,"Every ARC project follows a proven process that ensures transparency, quality, and your complete satisfaction.",,
Process > Hero,Background Image URL,(Unsplash placeholder),,
Process > Step 1,Sub-item 1,Free initial consultation,,
Process > Step 1,Sub-item 2,Understanding your vision & requirements,,
Process > Step 1,Sub-item 3,Site assessment & feasibility,,
